ow-hw  553.0    0.9572          TIP3P_Water       1	
hw-hw  553.0    1.5136          TIP3P_Water       1	
br-br  123.2    2.5420              SOURCE1       4	
br-c1  352.7    1.7870              SOURCE2       4	 0.0024
br-c2  272.3    1.8928      SOURCE1_SOURCE5      25	 0.0078
br-c   240.3    1.9460              SOURCE2       2	 0.0285
br-c3  223.4    1.9779      SOURCE1_SOURCE5     146	 0.0118
br-ca  262.7    1.9079      SOURCE1_SOURCE5     462	 0.0052
br-cc  277.4    1.8850      SOURCE4_SOURCE5     128	 0.0078
br-cx  245.4    1.9370               5/2017      11	 0.0019
br-i     0.0    2.6710              SOURCE1       2	 0.0245
br-n1  330.4    1.8600              SOUECE3       1	
br-n2  219.0    2.0380              SOURCE3       5	 0.1082
br-n   320.2    1.8730              SOURCE3       4	 0.0046
br-n3  265.9    1.9520              SOURCE3       2	
br-n4  282.4    1.9260              SOURCE3       3	 0.0013
br-na  237.3    2.0020              SOURCE3       7	 0.2156
br-nh  270.9    1.9440              SOURCE3       1	
br-no  191.0    2.1010              SOURCE3       1	
br-o   278.9    1.8000              SOUECE3       1	
br-oh  237.2    1.8660              SOURCE3       1	
br-os  225.6    1.8870              SOURCE3       2	
br-p2  174.3    2.2100              SOURCE3       9	 0.0510
br-p3  167.0    2.2310              SOURCE3       3	 0.0101
br-p4  188.8    2.1710              SOUECE3       1	
br-p5  179.3    2.1960              SOURCE3       3	 0.0099
br-s   170.6    2.2200              SOUECE3       1	
br-s4  134.3    2.3410              SOURCE3       1	
br-s6  172.7    2.2140              SOURCE3       3	 0.0443
br-sh  174.4    2.2090              SOURCE3       1	
br-ss  176.6    2.2030              SOURCE3       3	 0.0035
c1-c1  923.7    1.1983      SOURCE1_SOURCE5     659	 0.0039
c1-c2  625.0    1.3070              SOURCE1      18	
c1-c3  371.6    1.4671      SOURCE1_SOURCE5     795	 0.0034
c1-ca  404.1    1.4400              SOUECE3       1	
c1-ce  607.4    1.3153              SOURCE4       6	 0.0086
c1-cg  865.1    1.2159      SOURCE3_SOURCE5     179	 0.0036
c1-ch  854.0    1.2194      SOURCE3_SOURCE5      13	 0.0016
c1-cl  419.7    1.6310              SOURCE2       6	 0.0050
c1-cx  398.0    1.4450               5/2017      24	 0.0043
c1-f   469.4    1.2700              SOURCE2       2	 0.0085
c1-ha  374.7    1.0668      SOURCE3_SOURCE5     343	 0.0013
c1-hc  385.6    1.0600              SOUECE3       1	
c1-i   318.8    1.9890              SOURCE2       4	 0.0032
c1-n1  954.6    1.1535      SOURCE1_SOURCE5     481	 0.0035
c1-n2  807.8    1.1971      SOURCE3_SOURCE5      36	 0.0076
c1-n3  474.3    1.3475      SOURCE2_SOURCE5      10	 0.0093
c1-n4  378.2    1.4170              SOURCE3       3	 0.0032
c1-n   503.0    1.3300              SOUECE3       1	
c1-na  452.0    1.3620              SOURCE3       8	 0.0034
c1-ne  792.2    1.2023      SOURCE4_SOURCE5      31	 0.0124
c1-nf  792.2    1.2023      SOURCE4_SOURCE5      21	 0.0141
c1-nh  482.6    1.3423      SOURCE4_SOURCE5      33	 0.0061
c1-no  393.0    1.4050              SOURCE3       3	 0.0005
c1-o   758.1    1.1724      SOURCE2_SOURCE5      31	 0.0068
c1-oh  435.6    1.3260              SOURCE3       1	
c1-os  447.5    1.3181      SOURCE3_SOURCE5       8	 0.0079
c1-p2  289.3    1.7700              SOUECE3       1	
c1-p3  275.1    1.7900              SOUECE3       1	
c1-p4  275.1    1.7900              SOUECE3       1	
c1-p5  302.2    1.7530              SOURCE3       2	
c1-s2  410.0    1.5950              SOURCE3       1	
c1-s   400.6    1.6032      SOURCE1_SOURCE5      37	 0.0043
c1-s4  272.9    1.7460              SOURCE3       2	
c1-s6  290.4    1.7220              SOURCE3       2	
c1-sh  324.5    1.6800              SOUECE3       1	
c1-ss  316.2    1.6898      SOURCE1_SOURCE5      49	 0.0113
c2-c2  569.4    1.3343      SOURCE1_SOURCE5    3727	 0.0053
c2-c3  326.8    1.5095      SOURCE1_SOURCE5   10204	 0.0042
c2-ca  482.1    1.3846      SOUECE3_SOURCE5       9	 0.0149
c2-cc  523.8    1.3593      SOURCE1_SOURCE5     882	 0.0181
c2-cd  523.8    1.3593      SOURCE1_SOURCE5     882	 0.0181
c2-ce  547.3    1.3461      SOURCE3_SOURCE5    3239	 0.0058
c2-cf  547.3    1.3461      SOURCE3_SOURCE5    3177	 0.0057
c2-cl  321.3    1.7308      SOURCE1_SOURCE5     290	 0.0098
c2-cu  590.0    1.3240               5/2017      11	 0.0010
c2-cx  352.0    1.4850               5/2017      76	 0.0060
c2-cy  325.6    1.5110               5/2017      21	 0.0067
c2-f   370.6    1.3385      SOURCE1_SOURCE5      35	 0.0085
c2-h4  344.6    1.0868      SOURCE3_SOURCE5     517	 0.0028
c2-h5  338.4    1.0912      SOURCE4_SOURCE5     116	 0.0021
c2-ha  343.1    1.0879      SOURCE3_SOURCE5    5991	 0.0019
c2-hc  344.3    1.0870              SOURCE3     789	 0.0046
c2-hx  350.1    1.0830              SOURCE3       3	 0.0008
c2-i   215.4    2.1701      SOURCE3_SOURCE5       7	 0.0194
c2-n1  546.0    1.3060              SOURCE3       4	 0.0161
c2-n2  594.1    1.2817      SOURCE1_SOURCE5    1004	 0.0051
c2-n3  486.3    1.3400              SOUECE3       1	
c2-n   400.1    1.3994      SOURCE3_SOURCE5     174	 0.0100
c2-n4  282.0    1.5125      SOURCE3_SOURCE5      21	 0.0133
c2-na  397.4    1.4015      SOURCE3_SOURCE5      65	 0.0179
c2-nc  533.0    1.3130              SOURCE1      99	 0.0095
c2-nd  533.0    1.3130              SOURCE1      99	
c2-ne  574.1    1.2915      SOURCE3_SOURCE5     310	 0.0099
c2-nf  574.1    1.2915      SOURCE3_SOURCE5     273	 0.0098
c2-nh  416.2    1.3872      SOURCE3_SOURCE5    1559	 0.0120
c2-no  343.0    1.4481      SOURCE4_SOURCE5      27	 0.0139
c2-o   622.9    1.2247      SOURCE4_SOURCE5      35	 0.0033
c2-oh  417.6    1.3385      SOURCE1_SOURCE5      85	 0.0126
c2-os  389.2    1.3596      SOURCE1_SOURCE5     548	 0.0107
c2-p2  377.3    1.6686      SOURCE3_SOURCE5      87	 0.0126
c2-p3  246.6    1.8340              SOURCE3       5	 0.0042
c2-p4  254.0    1.8220              SOUECE3       1	
c2-p5  230.0    1.8626      SOURCE4_SOURCE5      15	 0.0083
c2-pe  357.6    1.6886      SOURCE3_SOURCE5      60	 0.0472
c2-pf  357.6    1.6886      SOURCE3_SOURCE5       8	 0.0019
c2-s2  393.1    1.6100              SOURCE2       1	
c2-s   281.5    1.7340              SOURCE3       4	 0.0034
c2-s4  263.2    1.7600              SOUECE3       1	
c2-s6  263.2    1.7600              SOUECE3       1	
c2-sh  248.9    1.7820      SOURCE4_SOURCE5      13	 0.0077
c2-ss  280.0    1.7360              SOURCE1     209	 0.0155
c3-c3  300.9    1.5375      SOURCE1_SOURCE5   88072	 0.0058
c3-ca  321.0    1.5156      SOURCE1_SOURCE5   10699	 0.0054
c3-cc  334.8    1.5015      SOURCE3_SOURCE5    3926	 0.0049
c3-cd  334.8    1.5015      SOURCE3_SOURCE5    3926	 0.0049
c3-ce  320.7    1.5159      SOURCE3_SOURCE5    1210	 0.0060
c3-cf  320.9    1.5157      SOURCE3_SOURCE5     345	 0.0071
c3-cl  266.3    1.8045      SOURCE1_SOURCE5    1173	 0.0119
c3-cu  353.1    1.4840               5/2017       2	
c3-cv  335.4    1.5010               5/2017       1	
c3-cx  315.1    1.5220               5/2017     849	 0.0062
c3-cy  304.2    1.5340               5/2017     522	 0.0055
c3-f   356.9    1.3497      SOURCE1_SOURCE5    2188	 0.0139
c3-h1  330.6    1.0969      SOURCE3_SOURCE5  112144	 0.0055
c3-h2  331.7    1.0961      SOURCE3_SOURCE5    2681	 0.0032
