ow-hw  553.0    0.9572         TIP3P_Water        1         
hw-hw  553.0    1.5136         TIP3P_Water        1         
br-br   81.0    2.5420             SOURCE1        4         
br-c   114.31   2.0128                2021        2   0.0000
br-c1  196.60   1.7926                2021        3   0.0009
br-c2  147.76   1.9054                2021       25   0.0078
br-c3  123.31   1.9805                2021      101   0.0105
br-c5  119.19   1.9949                2021        9   0.0130
br-c6  116.96   2.0030                2021       45   0.0119
br-ca  145.49   1.9117                2021      335   0.0050
br-cc  155.28   1.8853                2021       74   0.0082
br-cd  155.01   1.8860                2021       15   0.0082
br-ce  148.05   1.9046                2021       12   0.0099
br-cf  132.53   1.9502                2021        1   0.0000
br-cs  141.88   1.9220                2021        1   0.0000
br-cx  136.81   1.9370                2021       11   0.0019
br-cy  132.40   1.9506                2021        5   0.0056
br-n1  141.5    1.8600             SOUECE3        1         
br-n   130.36   1.8645                2021        2   0.0005
br-n2  108.05   1.9408                2021        1   0.0000
br-n3  110.4    1.9520             SOURCE3        2         
br-n4  118.3    1.9260             SOURCE3        3   0.0013
br-n7  108.15   1.9404                2021        1   0.0000
br-na  131.84   1.8600                2021        1   0.0000
br-nh  112.8    1.9440             SOURCE3        1         
br-no   79.56   2.0720                2021        1   0.0000
br-ns  123.95   1.8847                2021        2   0.0006
br-nu  101.65   1.9663                2021        2   0.0002
br-ny  110.29   1.9323                2021        2   0.0000
br-nz  109.05   1.9370                2021        1   0.0000
br-o   193.6    1.8000             SOUECE3        1         
br-oh  145.40   1.8690                2021        1   0.0000
br-os  143.59   1.8740                2021        1   0.0000
br-p2  121.29   2.2558                2021        1   0.0000
br-p3  121.79   2.2538                2021        2   0.0000
br-p4  164.10   2.1147                2021        1   0.0000
br-p5  132.02   2.2153                2021        2   0.0060
br-s   169.2    2.2200             SOUECE3        1         
br-s4  128.8    2.3410             SOURCE3        1         
br-s6  146.90   2.2544                2021        2   0.0000
br-sh  155.56   2.2270                2021        1   0.0000
br-ss  155.13   2.2283                2021        2   0.0002
c1-c1  699.13   1.2095                2021      394   0.0045
c1-c2  466.85   1.3185                2021       60   0.0319
c1-c3  284.58   1.4656                2021      503   0.0037
c1-c5  277.77   1.4732                2021       68   0.0030
c1-c6  278.48   1.4724                2021       37   0.0049
c1-ca  325.6    1.4400             SOUECE3        1         
c1-cc  322.23   1.4272                2021        1   0.0000
c1-ce  336.10   1.4144                2021       22   0.0259
c1-cf  311.66   1.4374                2021        2   0.0444
c1-cg  684.97   1.2148                2021      157   0.0027
c1-ch  685.23   1.2147                2021       13   0.0016
c1-cl  250.10   1.6532                2021        2   0.0001
c1-cv  487.26   1.3065                2021        1   0.0000
c1-cx  304.46   1.4446                2021       24   0.0043
c1-cy  285.76   1.4643                2021        3   0.0061
c1-f   482.2    1.2700             SOURCE2        2   0.0085
c1-ha  392.43   1.0666                2021      280   0.0008
c1-hc  448.2    1.0600             SOUECE3        1         
c1-i   102.82   2.1756                2021        1   0.0000
c1-n1  751.25   1.1619                2021      311   0.0024
c1-n2  658.45   1.1951                2021       31   0.0070
c1-n3  397.76   1.3310                2021        3   0.0051
c1-n   428.9    1.3300             SOUECE3        1         
